14,15,14,16,14,17,14,18,14,19,14,20,14,21,14,22,14,23,14
15,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,14
14,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,14
16,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,14
14,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,14
17,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,14
14,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,14
18,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,14
14,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,14
19,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,14
14,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,14
20,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,14
14,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,14
21,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,14
14,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,14
22,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,14
14,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,14
23,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,14
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
